order_id,customer_segment,region,product_category,order_date,ship_date,order_status,quantity,unit_price,discount_pct,amount,currency,sales_channel,notes
ORD-0001,Retail,North,Electronics,2024-01-03,2024-01-06,Delivered,2,149.99,0.05,284.98,USD,Online,
ORD-0002,Wholesale,South,Office Supplies,2024-01-04,2024-01-09,Delivered,10,12.50,0.10,112.50,USD,Direct,Bulk order
ORD-0003,Retail,East,Furniture,2024-01-05,2024-01-12,Delivered,1,399.00,,399.00,USD,Online,Standard order
ORD-0004,Government,West,Electronics,2024-01-06,2024-01-10,Delivered,5,299.99,0.15,1274.96,USD,Direct,Standard procurement
ORD-0005,Retail,North,Clothing,2024-01-07,2024-01-11,Delivered,3,45.00,0.00,135.00,USD,Online,
ORD-0006,Wholesale,East,Food,2024-01-08,2024-01-14,Delivered,50,4.20,0.08,193.20,USD,Direct,
ORD-0007,Retail,South,Electronics,2024-01-09,2024-01-13,Returned,1,89.99,,89.99,USD,Online,Customer changed mind
ORD-0008,Corporate,West,Office Supplies,2024-01-10,2024-01-15,Delivered,20,8.75,0.12,154.00,USD,Direct,Priority handling
ORD-0009,Retail,North,Furniture,2024-01-11,2024-01-18,Delivered,1,549.00,0.05,521.55,USD,Online,New account
ORD-0010,Wholesale,South,Clothing,2024-01-12,2024-01-17,Delivered,30,22.00,0.10,594.00,USD,Direct,
ORD-0011,Retail,East,Food,2024-01-13,2024-01-16,Delivered,4,9.99,0.00,39.96,USD,Online,
ORD-0012,Government,North,Electronics,2024-01-14,2024-01-18,Processing,8,199.99,0.15,1359.93,USD,Direct,Awaiting approval
ORD-0013,Retail,West,Office Supplies,2024-01-15,2024-01-19,Delivered,6,14.25,,85.50,USD,Online,Repeat customer
ORD-0014,Corporate,South,Furniture,2024-01-16,2024-01-23,Delivered,2,875.00,0.10,1575.00,USD,Direct,Conference room
ORD-0015,Retail,East,Electronics,2024-01-17,2024-01-21,Delivered,1,649.99,0.00,649.99,USD,Online,
ORD-0016,Wholesale,West,Food,2024-01-18,2024-01-24,Delivered,100,2.80,0.05,266.00,USD,Direct,Volume order
ORD-0017,Retail,North,Clothing,2024-01-19,2024-01-23,Cancelled,2,38.00,,76.00,USD,Online,Out of stock
ORD-0018,Government,East,Office Supplies,2024-01-20,2024-01-25,Delivered,15,11.00,0.12,145.20,USD,Direct,Standard procurement
ORD-0019,Retail,South,Electronics,2024-01-21,2024-01-25,Delivered,1,129.99,0.00,129.99,USD,Online,
ORD-0020,Corporate,North,Furniture,2024-01-22,2024-01-29,Delivered,4,320.00,0.08,1177.60,USD,Direct,Rush order
ORD-0021,Retail,West,Food,2024-01-23,2024-01-27,Delivered,6,7.50,,45.00,USD,Online,
ORD-0022,Wholesale,South,Electronics,2024-01-24,2024-01-29,Delivered,12,74.99,0.10,809.89,USD,Direct,Seasonal promotion
ORD-0023,Retail,East,Clothing,2024-01-25,2024-01-29,Delivered,2,55.00,0.05,104.50,USD,Online,
ORD-0024,Government,West,Office Supplies,2024-01-26,2024-01-31,Delivered,25,6.40,0.12,140.80,USD,Direct,Annual supply
ORD-0025,Retail,North,Furniture,2024-01-27,2024-02-03,Processing,1,1200.00,,1200.00,USD,Online,
ORD-0026,Corporate,East,Electronics,2024-01-28,2024-02-01,Delivered,3,449.99,0.08,1241.97,USD,Direct,Express delivery
ORD-0027,Retail,South,Food,2024-01-29,2024-02-02,Delivered,8,5.25,0.00,42.00,USD,Online,
ORD-0028,Wholesale,West,Clothing,2024-01-30,2024-02-05,Delivered,40,18.50,0.10,666.00,USD,Direct,Bulk order
ORD-0029,Retail,North,Office Supplies,2024-01-31,2024-02-04,Returned,3,22.00,,66.00,USD,Online,Wrong item
ORD-0030,Government,South,Electronics,2024-02-01,2024-02-06,Delivered,6,249.99,0.15,1274.95,USD,Direct,Quarterly restock
ORD-0031,Retail,East,Furniture,2024-02-02,2024-02-09,Delivered,1,299.00,0.05,284.05,USD,Online,Standard delivery
ORD-0032,Corporate,West,Food,2024-02-03,2024-02-08,Delivered,20,3.99,0.08,73.42,USD,Direct,
ORD-0033,Retail,North,Clothing,2024-02-04,2024-02-08,Delivered,1,72.00,,72.00,USD,Online,Clearance item
ORD-0034,Wholesale,East,Electronics,2024-02-05,2024-02-10,Delivered,8,119.99,0.10,863.93,USD,Direct,Contract pricing applied
ORD-0035,Retail,South,Office Supplies,2024-02-06,2024-02-10,Delivered,5,18.00,0.00,90.00,USD,Online,
ORD-0036,Government,West,Furniture,2024-02-07,2024-02-14,Processing,3,650.00,0.12,1716.00,USD,Direct,Pending delivery
ORD-0037,Retail,North,Food,2024-02-08,2024-02-12,Delivered,10,4.50,,45.00,USD,Online,
ORD-0038,Corporate,South,Electronics,2024-02-09,2024-02-13,Delivered,2,599.99,0.10,1079.98,USD,Direct,Pre-approved discount
ORD-0039,Retail,East,Clothing,2024-02-10,2024-02-14,Delivered,3,42.00,0.05,119.70,USD,Online,
ORD-0040,Wholesale,West,Office Supplies,2024-02-11,2024-02-16,Delivered,60,5.80,0.10,313.20,USD,Direct,Bulk
ORD-0041,Retail,North,Furniture,2024-02-12,2024-02-19,Delivered,1,449.00,,449.00,USD,Online,
ORD-0042,Government,East,Electronics,2024-02-13,2024-02-17,Delivered,10,179.99,0.15,1529.92,USD,Direct,Annual supply contract
ORD-0043,Retail,South,Food,2024-02-14,2024-02-18,Delivered,5,6.75,0.00,33.75,USD,Online,
ORD-0044,Corporate,West,Clothing,2024-02-15,2024-02-20,Delivered,8,65.00,0.08,478.40,USD,Direct,First order
ORD-0045,Retail,North,Office Supplies,2024-02-16,2024-02-20,Cancelled,2,28.00,,56.00,USD,Online,Duplicate order
ORD-0046,Wholesale,South,Furniture,2024-02-17,2024-02-24,Delivered,5,380.00,0.10,1710.00,USD,Direct,Split shipment
ORD-0047,Retail,East,Electronics,2024-02-18,2024-02-22,Delivered,1,199.99,0.05,189.99,USD,Online,
ORD-0048,Government,North,Food,2024-02-19,2024-02-23,Delivered,200,1.95,0.15,331.50,USD,Direct,Cafeteria stock
ORD-0049,Retail,West,Clothing,2024-02-20,2024-02-24,Delivered,2,49.00,,98.00,USD,Online,
ORD-0050,Corporate,South,Electronics,2024-02-21,2024-02-25,Delivered,4,329.99,0.08,1214.36,USD,Direct,New customer
ORD-0051,Retail,East,Office Supplies,2024-02-22,2024-02-26,Delivered,7,16.50,0.00,115.50,USD,Online,
ORD-0052,Wholesale,West,Clothing,2024-02-23,2024-02-29,Delivered,25,27.00,0.10,607.50,USD,Direct,Quarterly order
